time="2026-09-14T18:55:10.484071844Z" level=debug msg="Applied tar sha256:3d7dddf62be3a47f3c072a9dc069ac228beea659375d9fff022792deaaf08d61 to ff5ef73b11911fabfb375072b6f0eb9f845fdcaa206bbf49c42d950a6debb8dc, size: 42415046"
time="2026-09-14T18:55:10.521565794Z" level=debug msg="Applying tar in /home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/43027ff4af78efbbbbab4ccc27e45298eb9460741161f2df17bae1915cf9876b/diff" storage-driver=overlay2
time="2026-09-14T18:55:10.523245234Z" level=debug msg="Applied tar sha256:1a8800d1b976e9a254659bbce8213f99d55639c12cc4d2ebecafe95a163797c5 to 43027ff4af78efbbbbab4ccc27e45298eb9460741161f2df17bae1915cf9876b, size: 36"
time="2026-09-14T18:55:10.623619298Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:10.624014597Z" level=debug msg="handling GET request" method=GET module=api request-url="/v1.51/images/python:3.11-slim/json" vars="map[name:python:3.11-slim version:1.51]"
time="2026-09-14T18:55:10.645217439Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:10.646253671Z" level=debug msg="handling POST request" form-data="{\"AttachStderr\":true,\"AttachStdin\":false,\"AttachStdout\":true,\"Cmd\":[\"python\",\"-u\",\"-c\",\"import time,uuid; print(uuid.uuid4().hex,flush=True); time.sleep(3600)\"],\"Domainname\":\"\",\"Entrypoint\":null,\"Env\":null,\"HostConfig\":{\"AutoRemove\":false,\"Binds\":null,\"BlkioDeviceReadBps\":[],\"BlkioDeviceReadIOps\":[],\"BlkioDeviceWriteBps\":[],\"BlkioDeviceWriteIOps\":[],\"BlkioWeight\":0,\"BlkioWeightDevice\":[],\"CapAdd\":null,\"CapDrop\":null,\"Cgroup\":\"\",\"CgroupParent\":\"\",\"CgroupnsMode\":\"\",\"ConsoleSize\":[0,0],\"ContainerIDFile\":\"\",\"CpuCount\":0,\"CpuPercent\":0,\"CpuPeriod\":0,\"CpuQuota\":0,\"CpuRealtimePeriod\":0,\"CpuRealtimeRuntime\":0,\"CpuShares\":0,\"CpusetCpus\":\"\",\"CpusetMems\":\"\",\"DeviceCgroupRules\":null,\"DeviceRequests\":null,\"Devices\":[],\"Dns\":[],\"DnsOptions\":[],\"DnsSearch\":[],\"ExtraHosts\":null,\"GroupAdd\":null,\"IOMaximumBandwidth\":0,\"IOMaximumIOps\":0,\"IpcMode\":\"\",\"Isolation\":\"\",\"Links\":null,\"LogConfig\":{\"Config\":{},\"Type\":\"\"},\"MaskedPaths\":null,\"Memory\":134217728,\"MemoryReservation\":0,\"MemorySwap\":0,\"MemorySwappiness\":-1,\"NanoCpus\":1000000000,\"NetworkMode\":\"host\",\"OomKillDisable\":false,\"OomScoreAdj\":0,\"PidMode\":\"\",\"PidsLimit\":0,\"PortBindings\":{},\"Privileged\":false,\"PublishAllPorts\":false,\"ReadonlyPaths\":null,\"ReadonlyRootfs\":false,\"RestartPolicy\":{\"MaximumRetryCount\":0,\"Name\":\"no\"},\"SecurityOpt\":null,\"ShmSize\":0,\"UTSMode\":\"\",\"Ulimits\":[],\"UsernsMode\":\"\",\"VolumeDriver\":\"\",\"VolumesFrom\":null},\"Hostname\":\"\",\"Image\":\"sha256:002792ac193538382f4aa5b2f696e5669c20e3c972e60d75e6df90d64d4e696e\",\"Labels\":{\"book.experiment\":\"restore-probe\"},\"NetworkingConfig\":{\"EndpointsConfig\":{}},\"OnBuild\":null,\"OpenStdin\":false,\"StdinOnce\":false,\"Tty\":false,\"User\":\"\",\"Volumes\":{},\"WorkingDir\":\"\"}" method=POST module=api request-url="/v1.51/containers/create?name=book1102-probe-9c745d870c" vars="map[version:1.51]"
time="2026-09-14T18:55:11.059046053Z" level=debug msg="container mounted via layerStore" container=93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e root=/home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/f68b1fd122aa1fa839a94097ac211afd84593c8d6a14a92a491d1770e8dd0116/merged storage-driver=overlay2
time="2026-09-14T18:55:11.090381824Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:11.090779746Z" level=debug msg="handling POST request" method=POST module=api request-url=/v1.51/containers/93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e/start vars="map[name:93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e version:1.51]"
time="2026-09-14T18:55:11.093331950Z" level=debug msg="container mounted via layerStore" container=93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e root=/home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/f68b1fd122aa1fa839a94097ac211afd84593c8d6a14a92a491d1770e8dd0116/merged storage-driver=overlay2
time="2026-09-14T18:55:11.106291962Z" level=debug msg="createSpec: cgroupsPath: system.slice:docker:93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e"
time="2026-09-14T18:55:11.106577042Z" level=debug msg="bundle dir created" bundle=/run/book1102-iso2/containerd/93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e module=libcontainerd namespace=book1102 root=/home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/f68b1fd122aa1fa839a94097ac211afd84593c8d6a14a92a491d1770e8dd0116/merged
time="2026-09-14T18:55:11.189556943Z" level=debug msg=event module=libcontainerd namespace=book1102 topic=/tasks/create
time="2026-09-14T18:55:11.214033200Z" level=debug msg="EnableService 93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e START"
time="2026-09-14T18:55:11.214070862Z" level=debug msg="EnableService 93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e DONE"
time="2026-09-14T18:55:11.225105555Z" level=debug msg=event module=libcontainerd namespace=book1102 topic=/tasks/start
time="2026-09-14T18:55:11.749118738Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:11.749422227Z" level=debug msg="handling GET request" method=GET module=api request-url=/v1.51/containers/93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e/json vars="map[name:93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e version:1.51]"
time="2026-09-14T18:55:11.750400102Z" level=debug msg="handling GET request" method=GET module=api request-url="/v1.51/containers/93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e/logs?stderr=1&stdout=1&tail=all" vars="map[name:93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e version:1.51]"
time="2026-09-14T18:55:11.750474465Z" level=debug msg="begin logs" container=93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e method="(*Daemon).ContainerLogs" module=daemon
time="2026-09-14T18:55:11.750555080Z" level=debug msg="end logs (<nil>)" container=93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e method="(*Daemon).ContainerLogs" module=daemon
time="2026-09-14T18:55:11.769841180Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:11.772654566Z" level=debug msg="handling POST request" form-data="{\"CheckpointDir\":\"\",\"CheckpointID\":\"probe\",\"Exit\":true}" method=POST module=api request-url=/v1.51/containers/93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e/checkpoints vars="map[name:93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e version:1.51]"
time="2026-09-14T18:55:11.788983919Z" level=debug msg=event module=libcontainerd namespace=book1102 topic=/tasks/paused
time="2026-09-14T18:55:11.973582459Z" level=debug msg=event module=libcontainerd namespace=book1102 topic=/tasks/exit
time="2026-09-14T18:55:11.979340354Z" level=debug msg=event module=libcontainerd namespace=book1102 topic=/tasks/delete
time="2026-09-14T18:55:11.979372271Z" level=info msg="ignoring event" container=93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e module=libcontainerd namespace=book1102 topic=/tasks/delete type="*events.TaskDelete"
time="2026-09-14T18:55:12.299542617Z" level=debug msg="handling HEAD request" method=HEAD module=api request-url=/_ping vars="map[]"
time="2026-09-14T18:55:12.301373253Z" level=debug msg="handling POST request" method=POST module=api request-url="/v1.51/containers/93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e/start?checkpoint=probe" vars="map[name:93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e version:1.51]"
time="2026-09-14T18:55:12.302039174Z" level=debug msg="container mounted via layerStore" container=93afa2d77a7bd8f1fc04e71086752b58219187462d9f601741aa61466dc0b39e root=/home/ubuntu/ai-infra-book-experiments/ch11/11-02/docker-lifecycle/isolated-daemon/attempt2/data/overlay2/f68b1fd122aa1fa839a94097ac211afd84593c8d6a14a92a491d1770e8dd0116/merged storage-driver=overlay2
